series id ,series.title,description,site.channel,primary.channel.sub.channel, average monthly total users (June - Sep 17) 
1145,NCIS,"NCIS (Naval Criminal Investigative Service) is more than just an action drama. With liberal doses of humor, it's a show that focuses on the sometimes complex and always amusing dynamics of a team forced to work together in high-stress situations. NCIS Special Agent Leroy Jethro Gibbs, a former Marine gunnery sergeant, whose skills as an investigator are unmatched, leads this troupe of colorful personalities. From murder and espionage to terrorism and stolen submarines, these special agents travel the globe to investigate all crimes with Navy or Marine Corps ties.",Action and Adventure,Action and Adventure,8506709
1146,The Supersizers Go...,"In The Supersizers Go..., British restaurant critic, Giles Coren, and comedienne, Sue Perkins, eat their way through history. From Roman times to the French Revolution to the Great War, Giles and Sue eat, live and play for a full week exclusively the way people did back then. Before and after each era of eating, they pay a visit to a doctor to see how there are affected by their new diets. What will your favorite era be?",Food|Comedy~British Comedy|Arts and Culture|International~British,Food,620201
1147,Jeremiah,"A stunning sci-fi epic that re-envisions the future of mankind, Jeremiah stars Luke Perry (""Beverly Hills 90210,"" ""Oz"") as Jeremiah, one of the many young survivors of a viral epidemic called the ""Big Death"" that claimed the lives of every adult in the world 15 years ago. Now traveling back and forth across the United States, eking out a living and looking for a place called ""Valhalla Sector,"" a place that his father-a viral researcher-had mentioned to Jeremiah as a possible refuge, Jeremiah and his most trusted friend, Kurdy (Malcolm-Jamal Warner), are plunged into thrilling adventures that test every facet of their humanity...and ultimately the fate of the human race itself.",Drama|Science Fiction|International~Canadian,Drama,8841624
1148,Primeval: New World,Primeval: New World follows the story of a Canadian team that discovers dangerous predators emerging onto the streets of Vancouver through anomalies in time.,Science Fiction,Science Fiction,8103634
1149,Xploration Awesome Planet,"Philippe Cousteau Jr., grandson of the legendary Jacques Cousteau, explores the most spectacular places _ on the earth, inside the earth, and above the earth _ in this riveting earth science series. Xploration Awesome Planet is part of the Xploration Station two hour syndicated block airing on Fox stations throughout the country.",Documentaries|News and Information,Documentaries,8589655
1150,The Greatest American Hero,"Believe it or not, heÕs walking on air! William Katt stars as mild-mannered high school teacher Ralph Hinkley, whose close encounter with aliens leaves him with a red super-power suit that only he can control. But when Ralph promptly loses the instruction manual, the safety of mankind is left in his fumbling hands. Now with the help of his attorney girlfriend Pam Davidson (Connie Selleca) and FBI agent Bill Maxwell (Robert Culp), the worldÕs most unlikely flying crime fighter is ready for action. Who could it be? Believe it or not, heÕs THE GREATEST AMERICAN HERO! Michael Pare and Faye Grant co-star in this awesome Ô80s hit created by Stephen J. Cannell that featured such guest stars as Joe Mantegna, Markie Post, Bob Saget, Rick Dees, June Lockhart, David Paymer, Barbara Hale, Andr_ The Giant, Dixie Carter, Don Drysdale and more.",Drama|Action and Adventure~80s Action|Family,Drama,9805057
1151,Gargantia on the Verdurous Planet,"In the distant future, Ledo, a young soldier from space wakes up and finds himself marooned on an ocean planet.  Growing up in space, and knowing nothing but battle, he is a stranger in a strange land, full of odd customs and a foreign language, but heÕs not alone. Starting a new journey on this verdurous planet, Ledo must find a way to survive and reconcile that fact that he may never be able to return home!",Anime~Anime - Science Fiction|Animation and Cartoons|International~Japanese,Anime~Anime - Science Fiction,4296290
1152,Tom and Jerry Tales,"Tom and Jerry return to basics, chasing each other in an all-new series of hilarious cartoon shorts. With their endless rivalry and slapstick gags, this classic cat-and-mouse comedy team scrambles, slides and slams onto the screen, creating over-the-top mayhem and laugh-out-loud memories in the all-new Tom And Jerry Tales.",Animation and Cartoons~Saturday Morning Cartoons|Comedy|Family,Animation and Cartoons~Saturday Morning Cartoons,7541198
1153,Mr. D,"Mr. D is a comedy that explores life in a private school. Based on the stand-up comedy act of Gerry Dee, a former private school teacher for nine years, Mr. D is the story of an under-qualified teacher trying to fake his way in a teaching job, just as he fakes his way through life.",International|Comedy,International,1509364
1154,CBSN On Assignment,CBSN: On Assignment is a new primetime summer series featuring experiential reports driven by fresh voices and perspectives from around the world.,News and Information,News and Information,8577467
1155,Taggart,"Taggart tells the story of the Maryhill Police Department investigating gruesome crimes against the bleak backdrop of the city of Glasgow. With 109 episodes in 28 years, Taggart is UK's longest-running television drama and globally the longest running police drama series.",Drama~Police Drama|Drama~Crime and Courtroom Drama|International~British|Drama~Mystery,Drama~Police Drama,221916
1156,The Wallflower,Four handsome boys are confronted with a horrifying challenge: transform their benefactor's niece - a paranoid goth girl with a horror movie obsession - into a beautiful lady or start paying rent!,Anime,Anime,2002200
1157,Fraggle Rock,"Aimed at children between four and twelve years, this live-action International Emmy award-winning series is a perennial favorite with every new generation. The Fraggles are a fun-loving community of creatures who live in a subterranean fantasy land where they love to play, sing and dance their cares away, sharing their world with the tiny Doozers and the giant Gorgs. The series teaches empathy and tolerance and encourages children to understand people different from themselves.",Kids|Family,Kids,352167
1158,Steins;Gate,"Rintaro Okabe is a self-proclaimed ""mad scientist"" plagued by paranoid delusions of a nefarious organization known as SERN. Fueled by their imaginations, Okabe and his friends form a secret laboratory and seek to unlock the mysteries of time travel! ",Anime~Anime - Science Fiction|International~Japanese,Anime~Anime - Science Fiction,6789985
1159,Magi,"A young boy, Aladin, travels a mysterious continent that is home to a mysterious ruin known as the ÒDungeon,Ó in which great treasure is said to lay hidden. During his travels, the young boy meets Alibaba, and together they attempt to clear the ÒDungeonÓ in order to claim the treasures within. As their quest brings about new encounters and farewells, Aladin will come to learn of his true destiny.",Anime~Anime - Action Adventure|International~Japanese,Anime~Anime - Action Adventure,3140360
1160,Dance Academy,Fifteen-year-old Tara Webster has grown up on a farm in country Australia and finally gets the chance to follow her dream of becoming a dancer when she joins Sydney's National Dance Academy.,Drama|Family|Teen|International~Australian,Drama,1730235
1161,World Trigger,"The story of a friendship between a human boy and a visitor from another world. With superhuman technology at their fingertips, Yuma Kuga and Osamu Mikumo must work together to defend their new reality against unknown beings. Follow their dazzling journey full of courage, conflict, and gripping sci-fi action!",Anime~Anime - Action Adventure|International~Japanese,Anime~Anime - Action Adventure,6875157
1162,Atelier Escha & Logy: Alchemists of the Dusk Sky,"Escha Malier has always wanted to become an Alchemist and explore the ruins floating above her home town. Now she'll get her chance working in the R&D branch of the town's Alchemy department. However, she's not quite as ready for new coworker, Logy. They seem to be such total opposites! But as contaminants and pollution threaten the farmlands, they'll have to work together to seek out the causes. Because sometimes when one person alone can't save the world, two of them working in harmony can.",Anime~Anime - Fantasy|Anime~Anime - Drama,Anime~Anime - Fantasy,3202657
1163,This Isn't Working,"Determined to make it in Hollywood, a struggling actress bides her time between auditions by taking humiliating, soul-crushing temp jobs in order to scrape together enough money for rent and the occasional two-dollar bottles of wine.",Comedy,Comedy,8271653
1164,Paradox,Detective Inspector Rebecca Flint meets space scientist Dr Christian King when a series of images are transmitted from space into his laboratory. The team races against time to put together the clues and try to prevent almost certain tragedy. ,Drama~Mystery|Drama~Crime and Courtroom Drama|Science Fiction~Science Fiction - Thriller|International~British,Drama~Mystery,5026045
1165,Rhoda,"Things are changing for Rhoda Morgenstern, the feisty, perpetually single neighbor from Mary Tyler Moore. Having relocated from Minneapolis back to her native New York, Rhoda has a new business, a new home, an insecure sister who needs constant reassuring and, much to her interfering motherÕs delight... a husband.",Comedy~Sitcoms,Comedy~Sitcoms,5440697
1166,Digimon Tamers,"A group of 12-year-olds, Takato, Henry and Rika (fans of the Digimon card game) meet their own Digimon friends and start to duel ""bio-emerging"" Digimon who cross the barrier between the information network and their world.",Animation and Cartoons|International~Japanese|Anime~Anime - Action Adventure,Animation and Cartoons,6412764
1167,Durarara!!,"Mikado Ryugamine moves to Ikebukuro, Tokyo and enters school there. According to his childhood friend, Masaomi, there are two untouchable men in the area. After Mikado sees a jet black motorcycle with a headless ride, a series of random attacks and events begin to occur on the streets of Ikebukuro.",Anime|International~Japanese,Anime,2773005
1168,Himouto! Umaru-chan,"Umaru has two faces: her Òoutside faceÓ is a reserved beauty, renown throughout the school and community for her flawless manners, talent, and intelligence. Her dreaded Òinside face,Ó the face her responsible older brother Taihei deals with daily, is a lazy, game -playing, snack-binging brat. As Umaru hides her ability to methodically pair junk food with cola, Taihei attempts to devise ways to reign in her epic laziness by any means necessary.",Anime~Anime - Comedy|International~Japanese,Anime~Anime - Comedy,6696227
1169,Blade Dance of the Elementalers,"The prestigious Areishia Spirit Academy has trained generation after generation of pure maidens in the art of spirit contracting. At this esteemed school, young ladies of noble birth gather to receive an education reserved for the most elite of students, and fulfill their dreams of earning the coveted position of elementalist. But this society of young elite ladies is soon turned on its head by the arrival of Kamito Kazehaya, the only male elementalist in the world!",Anime~Anime - Action Adventure|Anime~Anime - Comedy|Anime~Anime - Romance|Anime~Anime - Fantasy|International~Japanese,Anime~Anime - Action Adventure,4171926
1170,Nisekoi,"Raku Ichijo is an average high school student. He also happens to be the sole heir to the head of a Yakuza Family called the Shuei-gumi. 10 years ago, Raku made a promiseÉ a secret promise with a girl he met.  They promised one another that they will Òget married when they reunite.Ó Since then, Raku never let go of the pendant the girl gave him. Then one day, a beautiful girl named Chitoge Kirisaki transfers into RakuÕs class. Their chemistry was more than off. There was not a moment where they were not fighting. But, by a weird turn of eventsÉ Raku and Chitoge agree to become fake lovers. Although his heart is really interested in his classmate Kosaki OnoderaÉ Raku must continue pretending to be ChitogeÕs boyfriend. How far will you go for a love so truly fake? Which girl holds the key to RakuÕs pendant and to his heart?",Anime~Anime - Comedy|Anime~Anime - Romance|International~Japanese,Anime~Anime - Comedy,8463254
1171,Comedy Dynamics Classics: Full Frontal Comedy,"From deep within the comedy archives of the 90s, comes a show not for the easily offended - Full Frontal Comedy! Hosted by Dom Irerra and featuring a number of comedians who have gone on to have great careers!",Comedy~Stand Up Comedy,Comedy~Stand Up Comedy,3587896
1172,The Fosters,"A multi-ethnic family with a mix of foster and biological kids are being raised by two moms. Stef Foster, a dedicated police officer, and her partner Lena Adams, a school Vice Principal, have built a strong family with Stef's biological son from a previous marriage, Brandon, and their adopted twins, Mariana and Jesus. Their lives are turned upside down when Lina meets Callie, a teen with an abusive past who has spent her life in foster homes. Lena and Stef decide to welcome Callie into their home thinking it will be temporary.",Drama|Teen,Drama,7125031
1173,WataMote,"At the tender age of 15, Kuroki Tomoko has already dated dozens and dozens of boys -- in dating games and romance shows. The sad truth is that she gets tongue tied just talking to people, which makes her entrance into the social pressure cooker of high school especially heinous and riddled with anxiety.",Anime~Anime - Drama|International~Japanese,Anime~Anime - Drama,9252391
1174,JFK: A New World Order,"Fifty years after his death, John F. KennedyÕs life, legacy and youthful vigor continues to intrigue and enthrall an entire nation! Relive and introduce, to younger generations, the compelling story of this unforgettable leader and the inspired dynasty he left behind. Insightful and concise this 8 part documentary series covers JFKÕs life from barely surviving birth to the tragic events in Dallas on November 22, 1963. Remembered for his charisma, sharp mind and quick wit this series explores the early years of the WWII hero and respected Senator up through the 1960s Presidential race against Richard Nixon. From his inspirational Inauguration speech to his final days in Dallas and all points in-between, the story of the man who gave the nation a sense of pride and confidence is presented in this unforgettable collection. Journey through the pivotal moments that created one of AmericaÕs most beloved, influential and controversial figures through 8 programs that commemorate the man and the myth that is _ John F. Kennedy.",Documentaries|News and Information~Politics,Documentaries,9856448
1175,Play Time,"A series of familiar puzzles and games from a toddler's environment, which are delightfully animated to give an enchanting introduction to first concepts.",Kids,Kids,9662654
1176,Haganai,"Kodaka Hasegawa has a hard time making friends at St. Chronica's Academy until he meets fellow loner Yozora. Together, they form a club that, little by little, attracts the school's misfits. But how long can a band of outsiders manage to get along?",Anime~Anime - Drama|International~Japanese,Anime~Anime - Drama,8009479
1177,Party Girl,"Desperate times call for desperate measures, so Lisa, a 27-year-old in Los Angeles, is forced to take a job with a company that provides entertainment at birthday parties. ItÕs a ragtag group of outcasts, but thanks to their hard-partying ways, Lisa fits right in with them. Lisa postpones adulthood for as long as possible, until one of her co-workers falls for her and makes her question every decision sheÕs ever madeÉ",Comedy,Comedy,1733772
1178,Chrisley Knows Best,"A real-life family comedy which follows Atlanta-based self-made multimillionaire Todd Chrisley, his devoted wife Julie and their five children who live a seemingly picture-perfect Southern life with everything money can buy. A Òpatriarch of perfection,Ó Todd runs his family just like his business _ with an iron fist _ and micromanages every move and expenditure made by each member of the Chrisley clan. But behind the façade of the familyÕs fairy-tale like 30,000 square-foot home, real-life issues and lots of laugh-out-loud drama unfolds.",Reality and Game Shows~Real Life Drama|Comedy,Reality and Game Shows~Real Life Drama,7985276
1179,Lip Service,Lip Service is an irreverent and poignant comedy drama series that focuses on the romantic lives of young gay women in contemporary Glasgow.,Drama|LGBT|International~British,Drama,4005802
1180,Forged in Fire,"Forged in Fire is a competition show pitting master weapon makers against each other. Each week, four of the best blade smiths in the country will come together to put both their skills and reputations on the line.",Reality and Game Shows,Reality and Game Shows,8700049
1181,Spaced,"Spaced is the story of enthusiastic but directionless Daisy Steiner (played by Jessica Hynes) and wired urban surfer Tim Bisley (Simon Pegg), two twenty-somethings who lie about being a 'professional married couple' in order to get tenancy of a London flat.  A grunge sitcom for a slacker twenty-something generation.",Comedy~British Comedy|Comedy~Sitcoms|International~British,Comedy~British Comedy,853368
1182,Road to 9/11,"Road to 9/11Ûù provides, for the first time, a 360-degree overview of events that led to the attack, weaving together the complex global connections and webs that developed over two decades.",Documentaries,Documentaries,2802580
1183,VocabuLarry,"Larry is a cute and curious parrot with an appetite for learning new words. Every environment into which he flies features one recurring item, e.g. a piece of furniture, article of clothing, a toy, etc. With the help of a narrator, Larry learns the name of the object of the day, and staying true to his parrot nature, he repeats the name over and over again, using humorous animated gestures along the way",Kids,Kids,5274727
1184,Shooter,"Shooter, a drama based on the best-selling novel by Stephen Hunter, Point of Impact, and the 2007 Paramount film starring Mark Wahlberg, follows Bob Lee Swagger (Ryan Phillippe), an expert marksman living in exile who is coaxed back into action after learning of a plot to kill the president.",Drama|Action and Adventure~Espionage,Drama,1036425
1185,Million Dollar Listing New York,"Million Dollar Listing Los Angeles has been known to show some of the biggest and most expensive properties that California has to offer, but now it's time for the East Coast to showcase its luxury properties in Million Dollar Listing New York. This new docu-series follows three of the most ambitious real estate agents as they give viewers an inside look into the aggressive, high-stakes world of New York City's real estate market as they close multi-million dollar deals faster than a cab running a red light.",Lifestyle~Home and Garden|Reality and Game Shows,Lifestyle~Home and Garden,619035
1186,The Bravest Knight Who Ever Lived,"Follow the story of Cedric, a young pumpkin farmer who wants nothing more than to become a courageous knight. After foiling a dastardly carriage thief, Cedric earns the chance to make his dream come true. When he sets out on his own adventure, Cedric must use his wits to save a prince and princess from a fierce dragon, and choose for himself what his happy ending should be. The Bravest Knight Who Ever Lived is a modern fairytale that proves that sometimes the bravest thing you can do is be yourself.",LGBT|Kids,LGBT,4300834
1187,South Park en Espa–ol,"Serie animada creada por Trey Parker y Matt Stone. Satiriza con humor negro la sociedad, actualidad y cultura estadounidense a trav_s de historias y situaciones surrealistas que les suceden a sus protagonistas, 4 ni–os.",Comedy|Action and Adventure|Latino,Comedy,3012629
1188,Teen Titans,"Fighting for truth, justice and the last slice of pizza, these five teenage heroes are living proof that a hero is never too young to save the planet. Protecting Earth and beyond, the Teen Titans live and operate from their T-shaped, high-tech headquarters. Using martial arts and cutting-edge gadgetry, the teens battle villains, giant monsters and alien invaders -- and still find time to argue over who's going to do the dishes.",Animation and Cartoons|Anime,Animation and Cartoons,5785612
1189,World Break: Aria of Curse for a Holy Swordsman,"Akane Academy is just like any other school... except the students just happen to be reincarnated heroes from a distant past who battled for the fate of the world. Now, monsters are threatening to wreak havoc, and it's up to the students to stop them!",Anime~Anime - Fantasy|International~Japanese,Anime~Anime - Fantasy,4612140
1190,Pioneer Quest: A Year in the Real West,"Pioneer Quest: A Year In The Real West, follows two couples as they assume the lives of early settlers to the West and spend one year living as 1870s pioneers on the Canadian prairie. Using only the resources and tools of the period, they will attempt build homes, raise livestock, hunt and grow crops. No running water. No electricity. No modern conveniences. They must work together to feed themselves, build shelter and endure the extreme heat and cold, share the joy of success and the stress of failure, to persevere and prosper. Through the incredible first person experience, Pioneer Quest shows how a large part of Canada was settled and the foundation for this great country was built.",Reality and Game Shows,Reality and Game Shows,6014921
1191,Elementary en Espa–ol,"ELEMENTARY es protagonizada por Jonny Lee Miller como el detective Sherlock Holmes y Lucy Liu como la Dra. Joan Watson, en un drama actual sobre una pareja de investigadores que resuelven los casos m‡s extraordinarios del Departamento de Polic’a de Nueva York.",Drama~Crime and Courtroom Drama|Drama~Police Drama|Drama~Mystery|Latino,Drama~Crime and Courtroom Drama,5184320
1192,Full Frontal with Samantha Bee,Comedian Samantha Bee gives her own wry commentary to the contemporary issues of the day.,Comedy~Late Night Comedy,Comedy~Late Night Comedy,8639220
1193,Disney's Fairy Tale Weddings,"Viewers get a behind-the-scenes look at the magical weddings and one-of-a-kind engagements that take place at Disney Destinations around the globe, including Walt Disney World, Disneyland, and Disney Cruise Lines. From fashion and products to world-class entertainment and d_cor, viewers get a glimpse of the modern day fairy tale that Disney's Fairy Tale Weddings brand has been creating for 25 years.",Documentaries,Documentaries,3917024
1194,Dateline: Secrets Uncovered,"Real-life mysteries. Investigative reporting. Justice. Dateline is the long-running, award winning newsmagazine bringing viewers stories ranging from compelling mysteries to powerful documentaries and in-depth investigations. Hosted by NBC NewsÕCraig Melvin, each episode of ÒDateline: Secrets UncoveredÓ incorporates the classic elements of drama and great storytelling: good guys, bad guys, conflict with the highest stakes, suspense and resolution.",Drama~Mystery,Drama~Mystery,1605456
1195,Devil May Cry,"Cursed to live as both monster and man, Dante must spend his life fighting the demonic forces of darkness. Brandishing his sword, Rebellion, and his always-loaded guns, Ebony and Ivory, Dante is more than happy to send the demons back to hell - especially when there's money to be made. The wildly popular video game is now a series, and this time, there's no sympathy for the devil.",Anime|International~Japanese,Anime,4278971
1196,Clash of the Corps,"Executive Producer Dwayne Johnson is here to kick some brass with his new show Clash of the Corps. Go inside the competitive world of Drum Corps International and follow rivals, The Cadets and Blue Devils, as they battle it out for the championship title.",Reality and Game Shows,Reality and Game Shows,1861158
1197,Inu X Boku Secret Service,"Shirakiin Ririchiyo arrives at the mysterious mansion known as Ayakashi Kan. However, in this private Eden every resident must have a personal Secret Service agent accompanying them at all times. The agent assigned to her, Soushi Miketsukami, may be far more than he appears to be. Could the guardian angel looking over her shoulder be more than just foxy looking and actually a fox spirit? Get ready for supernatural sleuthing and spirited suspense as the most secretive secret service of all unleashes a whole series of stunning surprises in Inu X Boku Secret Service!",Anime~Anime - Supernatural and Horror|International~Japanese,Anime~Anime - Supernatural and Horror,4729918
1198,House Hunters Family,"Searching for the perfect home is a challenge. And when you consider an entire family's needs, it's even harder. For the first time ever, the whole family is getting involved. On House Hunters Family , the parents and their kids house hunt together to select which house suits them best. But kids have minds of their own and they will certainly make their opinions heard. Will the whole family agree on which house to choose?",Reality and Game Shows|Lifestyle~Home and Garden|Family,Reality and Game Shows,6529297
1199,Magical Warfare,"The last few years havenÕt been easy for Takeshi Nanase. In fact, for two years the only real high point in TakeshiÕs existence has been studying the Japanese sword-fighting technique of Kendo. That is, until he discovers an unconscious girl in an unknown uniform in the school hallway. When the worlds of the mystical and the mundane collide, anything can happen in Magical Warfare!",Anime~Anime - Action Adventure|Anime~Anime - Romance|International~Japanese,Anime~Anime - Action Adventure,8561671
1200,Shiki,"noitaminA - the top-rated midnight anime block in Japan, airing on  Japan's leading broadcaster, Fuji Television - presents Shiki, a horror tale set in an isolated village with ancient traditions - and a populace plagued by death.",Anime|Horror and Suspense~Vampires|International~Japanese,Anime,9835266
1201,Dance with Devils,"Second-year student Ritsuka Tachibana has the perfect school-to-life balance, but all of that‰s thrown into chaos when she discovers that several of her handsome male classmates are actually demons in disguise.",Anime~Anime - Fantasy|International~Japanese|Anime~Anime - Action Adventure,Anime~Anime - Fantasy,3478631
1202,Explorer,"Join Explorer to witness unforgettable journeys, compelling stories and provocative subjects.",Documentaries,Documentaries,7129931
1203,Young & Gifted,Profiles of remarkable young prodigies who utilize their talents to better their lives and the lives of those around them.,News and Information|Documentaries,News and Information,8091072
1204,Witchblade,"Masane's fate is altered after uniting with the Witchblade, an ancient weapon of ecstasy and pain that penetrates the body and mind. Forced into the service of the Doji Group and hunted by the NSWF, Masane's greatest battle will be for her soul.",Anime|International~Japanese,Anime,2756341
1205,The Romeo Section,"From acclaimed showrunner Chris Haddock (Da Vinci's Inquest, Intelligence), THE ROMEO SECTION is an hour-long serialized espionage drama set in Vancouver. It follows spymaster Professor Wolfgang McGee, an academic who secretly manages a roster of espionage assets. These assets, referred to as Romeo or Juliet spies, are informants engaged in intimate relations with intelligence targets. Wolfgang himself is a semi-retired Romeo operator, having worked his way up in an officially deniable ""service"" under the umbrella of Canada's Intelligence Community. They operate in a seemingly serene cosmopolitan city whose underside acts as a haven for drug barons, fugitives and covert financiers. The series has Haddock reunited with fellow executive producer Laura Lightbown; director Stephen Surjik; producer Arvi Liimatainen; and writer/co-executive producer Jesse McKeown.",Drama~Mystery,Drama~Mystery,1961747
1206,Naked SNCTM,"What if there was a place where you could live out your wildest fantasies and feel free to explore your true sexual self? SNCTM is the most exclusive, high-end erotic club ever. Its wealthy members are treated to black tie masquerades, private dinner parties, and erotic theater. Damon, SNCTM's creator, definitely enjoys the no-holds-barred world he made, but success comes at a price, and his unique job can interfere with his ability to live a normal life. Get to know SNCTM and the people who inhabit it in this eye-opening documentary series.",Reality and Game Shows|Documentaries,Reality and Game Shows,2112077
1207,Jacqueline Kennedy: In Her Own Words,"Diane Sawyer anchors this ABC News exclusive 2-hour event, in which America will hear Jacqueline KennedyÕs conversations for the first time, put in context by historians and by the woman who knew her best: her daughter, Caroline Kennedy.  Recorded shortly after President John F. KennedyÕs death, the revealing oral history includes Jacqueline KennedyÕs impressions of life with her husband, their life in the White House, and the extraordinary events that shaped the Kennedy Administration and the world.",News and Information,News and Information,455467
1208,Chopped: After Hours,"The panel is taking over the kitchen. For the first time, the judges are trying their hands at identical combinations of ingredients that have sent home chef competitors. They'll cook against the clock in the same amount of time as traditional contestants, but among these friends and colleagues there will be as much eating, drinking and playful joking happening at each station as there is high-quality food preparation. ",Food~Cooking Competitions,Food~Cooking Competitions,9498116
1209,The Baby-Sitters Club (TV),"Based on the best-selling Scholastic book series by Ann M. Martin, The Baby-Sitters Club follows Kristy and her friends as they juggle babysitting, friendship, boys, school, and growing up.",Family|Kids|Teen,Family,9589992
1210,The New Adventures of Figaro Pho,"Figaro is the world's most loveable scaredy pants! A warm hearted adorable and mischievous character. He has mustered up the courage to venture outside his is house into the big world. Supported by his best friend and robotic dog Rivet and a hilarious cast of quirky friends, he is confident he can enjoy the simple pleasures of life like going to the movies, skating a half pipe or trying his luck at martial arts. However, in the fantastical world of Figaro Pho any activity inevitably turns into a hysterical adventure. Whether it's facing a stinky cheese monster, mastering time travel, taming possessed bagpipes or overcoming zombies, you can be certain that Figaro's tales will leave audiences in stitches.",Kids,Kids,249689
1211,The Bridge (SE),"A woman is found murdered in the middle of the ¯resund Bridge _ right on the border between Sweden and Denmark. The Swedish and Danish police are called to the scene. What at first looks like one murder, turns out to be two. The bodies have been brutally cut in half at the waist and put together to form a single corpse. This spectacular double murder is just the beginning of a wave of violence the like of which no one has ever seen before. The Swedish and Danish police find themselves in a race against the clock in a deadly showdown with a superior enemy, where no one will be the same when itÕs over.",Drama~Mystery|Drama~Crime and Courtroom Drama|International,Drama~Mystery,1937550
1212,The Pet Girl of Sakurasou,"Banished from normal housing for adopting stray cats, Sorata Kanda is impounded in Room 101 of Sakura Dormitory with the troublemakers and weirdos! Meanwhile, Mashiro Shiina in Room 202 is the catÕs meow of the art world, but sheÕs so dysfunctional that she needs a full-time keeper to survive. Given SorataÕs weakness for taking inÑsometimes not completely loveableÑcreatures, he takes over MashiroÕs grooming, feeding, and general domestication. WhoÕs on whose leash becomes anybodyÕs guess!",Anime~Anime - Romance|International~Japanese,Anime~Anime - Romance,2359684
1213,GCB,"Amanda Vaughn (Leslie Bibb), once the ultimate high school ""mean girl,"" is forced to return home in disgrace after her marriage ends in scandal. Amanda is nothing like the girl she was 20 years ago, but as her old classmates reacquaint themselves with the new Amanda, will her home town welcome her with open arms or seek revenge? No one in this town is a saint, but that doesn't mean they can't have a heart. As Amanda and her teenage kids try to adjust to their new lives, the ladies from her past alternate between sympathy and scheming. ",Drama,Drama,1293995
1214,Conan,"The biggest celebrities, the hottest musical guests, the craziest sketches...and Andy Richter, to boot? Yes, some would say Conan O'Brien's talk show on TBS has everything a late night viewer could want.",Comedy~Late Night Comedy,Comedy~Late Night Comedy,3666317
1215,Mushi-shi,"Ginko, a Mushi master, travels from place to place researching the Mushi and helping people who are suffering because of the Mushi.",Anime~Anime - Action Adventure|Action and Adventure~Martial Arts|International~Japanese,Anime~Anime - Action Adventure,9073889
1216,Miss USA 2017,"2017 MISS USA¨: Julianne Hough returns as host, as hopefuls from all 50 states and the District of Columbia compete for the crown, live from Las Vegas.",News and Information~Live Events and Specials,News and Information~Live Events and Specials,8666079
1217,The Lion Guard,"It is time! Join Kion, second born cub of Simba and Nala, as he becomes the leader of the Lion Guard and assembles the best and brightest to help him keep the circle of life intact. Kion gathers not a team of lions, as tradition has dictated, but his own Lion Guard comprised of Bunga the bravest, Fuli the fastest, Beshte the strongest, and Ono the keenest of sight. But Kion himself must learn the power of his roar before a genuine and lasting peace can come to the Pridelands.",Animation and Cartoons,Animation and Cartoons,1017406
1218,Below Deck Mediterranean,"With a new boat, new location and new faces, the excitement, drama and adventure of life aboard a private luxury yacht is taken to another level in the Mediterranean.",Reality and Game Shows~Guilty Pleasure,Reality and Game Shows~Guilty Pleasure,838326
1219,Feed the Beast,AMC's Feed the Beast is the story of two friends on the brink of losing everything. Their pipe dream of opening an upscale restaurant in the Bronx is all they have left to turn their lives around.,Drama,Drama,7133132
1220,"Baby Playpen: Intro to Color, Movement & Games","This programming has been specifically designed for the attention span, visual capabilities and thought processes of your baby. Join some of the beloved characters of BabyFirst as children are introduced to the world around them.",Kids,Kids,3914773
1221,Boys Before Flowers,"Boys Over Flowers is one of the biggest Korean drama hits of our time, sweeping ratings and awards across Asia in 2009 and 2010. This Korean take on the popular Japanese manga of the same name, tackles complex issues involving outcasts, socio-economic disparity, family, love, and friendship.  Jan Di is an average girl whose family owns a dry cleaning store located near the luxurious and well known Shin Hwa High School. After saving a boy from jumping off the roof of Shin Hwa High School, Jan Di is admitted into the school on a swimming scholarship.  At school, Jan Di tries to avoid confrontation with the four richest and most spoiled boys known as the F4, because she knows what happens to those that stand against them. However, when Jan Di's friend, Oh Min Ji, accidentally gets ice cream on the leader of the F4's shoes, she's forced to declare war on the leader of the F4, Goo Joon Pyo. What will happen though, when she falls in love with someone from the F4 and Goo Joon Pyo starts feeling something for her too? Will the love triangle disrupt F4 and change their lives forever?  Get ready for addictive drama, romance and comedy at it best. ",Korean Drama~Korean Drama - Comedy|International~Korean|Korean Drama~Korean Drama - K-Pop,Korean Drama~Korean Drama - Comedy,344840
1222,Simon & Simon,"Gerald McRaney and Jameson Parker star in this popular action series about two brothers, one clean-cut and ambitious, the other scruffy and eccentric, who together partner in a struggling detective agency in San Diego, CA. In constant competition with larger agencies, they are forced to take on the most difficult and dangerous cases ranging from the steamy intrigue of high society to the dirty corruption of Mexican border towns. Well-written and well-acted, Simon & Simon remains one of the most beloved detective series of its era. ",Drama|Action and Adventure~Espionage|Action and Adventure~80s Action,Drama,5436664
1223,Blue Spring Ride,"Meek middle school student Yoshioka Futaba has always had a complicated relationship with boys, but now that she's in high school - a run-in with a familiar face brings up old memories and the chance to right past wrongs.",Anime~Anime - Romance|Anime~Anime - Comedy|Anime~Anime - Drama|International~Japanese,Anime~Anime - Romance,1366502
